"GEOID","state","total_population","B27010_001M","uninsured","B27010_002M","privately_insured","B27010_003M","publicly_insured","B27010_004M","year","uninsured_rate","private_insurance_rate","public_insurance_rate"
"21","Kentucky",4312238,577,1013732,747,902497,3249,463391,5015,2015,23.5082571973068,20.9287381633388,10.7459514062072
"22","Louisiana",4522122,761,1112860,489,990227,3514,423839,5376,2015,24.6092431827359,21.8973968415713,9.37256889575292
"23","Maine",1314824,296,261742,150,227412,1488,125697,2381,2015,19.9069989595566,17.2960031152458,9.55998673586731
"24","Maryland",5836734,1122,1346655,232,1214287,3117,727691,6432,2015,23.072063931644,20.8042203053968,12.4674346989258
"25","Massachusetts",6627768,466,1394267,288,1278553,2851,830511,6412,2015,21.0367502302434,19.2908532706637,12.5307795927679
"26","Michigan",9789145,378,2245945,575,2011137,3987,1146598,7477,2015,22.943219249485,20.5445623698495,11.7129534806155
"27","Minnesota",5360861,273,1278612,321,1142154,2750,764229,4822,2015,23.8508702240181,21.3054209016052,14.2557137743359
"28","Mississippi",2923887,673,729711,536,649378,2552,247875,4504,2016,24.956881028576,22.2094082295246,8.47758480406391
"29","Missouri",5946094,746,1390631,719,1240093,3260,709838,5861,2016,23.3873026561639,20.8555902412575,11.937887292061
"30","Montana",1007946,330,224120,318,193250,1440,96145,2194,2016,22.2353181618857,19.1726540905961,9.53870544652194
"31","Nebraska",1852809,397,466304,313,415081,1817,247969,2622,2016,25.1674079735148,22.4027948914324,13.3834086514044
"32","Nevada",2804116,679,663717,212,550860,3521,316517,4442,2016,23.6693845761017,19.6446937287901,11.2875858202728
"33","New Hampshire",1310949,243,266541,166,245604,1223,163067,2516,2016,20.3319122254184,18.7348249245394,12.4388515495263
"34","New Jersey",8807899,535,2005654,410,1829314,3626,1169424,6672,2016,22.7710830925741,20.7690165384503,13.2769914823047
"35","New Mexico",2048093,641,500752,507,434025,2758,157652,3989,2016,24.4496709866202,21.1916646363227,7.69750201773064
"36","New York",19453583,933,4217987,628,3794159,6686,2045568,11182,2016,21.6823142554253,19.5036513325077,10.515122072885
"37","North Carolina",9745671,1984,2284247,672,2047439,4197,918863,8341,2016,23.4385810889779,21.0087022227613,9.42842211685578
"38","North Dakota",720312,512,167352,289,142460,1325,94834,1837,2016,23.2332655849132,19.7775408434123,13.1656837592599
"39","Ohio",11413979,601,2636357,533,2351383,4685,1388371,10127,2016,23.0976156518248,20.6009052583678,12.1637774171479
"40","Oklahoma",3794815,670,950318,302,810734,2716,371127,4117,2016,25.0425383055564,21.3642562285645,9.77984434023793
"41","Oregon",3943363,328,860027,261,763774,2585,403778,4684,2016,21.8094808923246,19.3685947755761,10.2394326872773
"42","Pennsylvania",12579598,459,2697105,689,2383836,5671,1414588,8724,2016,21.4403115266481,18.9500173216982,11.2450970213834
"44","Rhode Island",1038432,284,212008,129,188511,1529,111624,2320,2016,20.4161659116822,18.1534274752704,10.7492835351761
"45","South Carolina",4736274,1046,1083006,464,961298,3650,446253,4608,2016,22.8662024198769,20.2965031161626,9.42202668173336
"46","South Dakota",833674,304,208449,365,180869,1431,96511,1743,2016,25.0036585044034,21.6954109160175,11.5765874910337
"47","Tennessee",6445597,932,1492011,563,1331872,3754,660067,6369,2016,23.1477549713393,20.6632837889182,10.2405874894133
"48","Texas",26478868,2063,7121800,879,6053152,10759,2889805,17298,2016,26.8961648964752,22.8603126085299,10.9136274254624
"50","Vermont",620216,110,121353,89,109762,759,55178,1487,2016,19.5662478878326,17.6973828472661,8.89657796638591
"49","Utah",2922538,419,902047,266,781393,3446,550568,5030,2016,30.8651931985144,26.7367952101906,18.8386943129568
"51","Virginia",8096958,2299,1862757,878,1647786,4557,968918,7398,2016,23.005639895872,20.3506798479133,11.9664446820645
"53","Washington",6967768,1295,1603071,369,1423009,3772,753407,7729,2016,23.0069514369594,20.4227379556839,10.8127452004717
"54","West Virginia",1817156,193,378765,439,342852,1587,174614,2850,2016,20.8438350917588,18.8675050463471,9.6091915058476
"55","Wisconsin",5681891,282,1300087,422,1160937,2378,736068,5815,2016,22.8812379540544,20.4322293405488,12.954630773452
"56","Wyoming",573538,297,138362,409,119709,1212,74693,1620,2016,24.1242951644006,20.8720259163299,13.0231998577252
